base_unit_cost,competitor_price_ratio,historical_demand_index,promotional_lift_pct,inventory_coverage_days,macro_seasonality_factor,optimal_target_price
44.009,0.747,537.122,0.052,24,0.568,103.24
26.835,1.072,498.55,0.098,41,0.902,70.47
35.222,1.169,631.845,0.036,44,1.359,49.16
45.711,1.032,572.091,0.082,59,1.088,82.77
32.094,0.981,716.984,0.025,58,1.033,104.68
39.232,1.026,431.021,0.0,56,1.397,55.21
60.094,0.994,435.555,0.201,32,0.533,77.51
36.347,0.848,304.834,0.016,22,0.837,59.09
57.535,0.943,435.653,0.106,34,0.92,65.9
28.054,1.128,644.715,0.18,44,1.172,38.63
52.947,1.098,694.998,0.071,27,1.175,53.27
66.624,1.075,644.046,0.054,25,0.827,90.28
10.0,0.901,230.871,0.138,7,1.2,-23.22
33.047,1.023,662.472,0.209,52,0.919,77.07
53.656,0.723,224.222,0.026,43,1.242,58.47
41.954,1.077,634.718,0.108,32,0.793,75.92
50.567,1.264,444.832,0.0,50,0.975,86.41
35.94,0.829,605.38,0.089,41,0.902,93.53
46.299,0.962,300.133,0.123,59,1.211,53.64
42.665,1.099,675.675,0.052,29,0.895,83.41
62.517,1.238,280.254,0.083,59,0.992,70.0
48.816,0.983,399.732,0.007,44,1.101,68.08
50.064,0.946,350.286,0.126,39,1.109,45.83
38.822,0.755,236.857,0.204,9,1.177,-11.4
37.686,1.066,514.179,0.032,7,1.042,35.15
38.512,1.356,770.913,0.07,17,0.916,56.01
50.917,1.092,900.036,0.16,53,0.93,102.09
38.685,1.047,514.573,0.217,44,1.005,48.21
49.347,1.098,667.502,0.001,10,1.05,55.7
76.131,1.048,534.814,0.106,58,0.971,99.97
58.067,0.928,574.832,0.143,11,1.004,34.92
40.11,1.173,448.678,0.112,13,0.697,49.19
63.018,1.084,529.262,0.0,24,1.133,50.13
38.879,1.053,580.622,0.16,36,1.036,53.17
14.428,0.904,413.231,0.242,37,1.2,6.49
29.879,1.246,488.376,0.129,15,1.0,19.73
16.938,1.15,491.235,0.038,13,0.652,58.6
39.727,0.967,623.96,0.079,34,0.928,81.41
45.276,1.2,340.095,0.262,44,0.96,27.74
70.147,0.975,492.269,0.193,17,1.149,13.93
49.904,0.933,786.801,0.171,40,0.586,119.66
41.713,0.936,674.609,0.149,3,1.008,26.73
57.441,0.784,702.377,0.067,48,1.103,100.27
11.833,1.121,503.665,0.104,52,0.868,76.34
48.534,0.775,548.15,0.114,26,1.015,53.13
56.563,0.866,650.335,0.164,45,0.875,88.23
22.821,0.739,734.038,0.241,42,0.854,78.55
62.156,1.037,207.26,0.209,24,0.918,22.11
50.077,1.027,302.684,0.006,5,0.858,42.32
38.771,1.001,696.417,0.138,16,1.137,37.57
54.492,0.894,458.467,0.179,4,0.853,33.82
79.06,0.874,399.242,0.17,34,0.819,67.98
47.728,1.12,311.876,0.07,50,1.354,30.11
48.723,0.967,416.747,0.353,40,1.192,0.19
38.11,1.097,289.645,0.018,35,0.628,83.55
32.252,0.917,813.664,0.033,48,0.847,116.88
57.455,1.077,496.635,0.139,44,1.048,58.78
32.159,1.245,491.307,0.289,8,1.065,-27.24
46.073,1.138,588.212,0.053,43,0.702,105.2
37.835,0.988,644.352,0.099,41,1.232,62.07
52.185,1.089,641.883,0.206,27,1.165,24.69
50.005,1.014,661.043,0.119,36,1.096,62.2
60.563,1.051,405.373,0.093,13,1.271,8.48
37.35,1.001,455.32,0.165,48,1.09,50.96
40.952,1.025,615.355,0.142,39,1.09,56.49
30.319,1.082,420.892,0.202,43,1.312,8.65
38.336,0.901,499.234,0.223,9,1.22,-9.61
50.66,0.898,559.815,0.145,59,0.832,101.86
56.355,0.842,617.778,0.143,48,1.127,76.79
31.168,0.81,233.348,0.137,50,0.867,60.83
58.044,0.867,607.212,0.159,24,1.101,48.05
65.335,1.074,464.941,0.124,50,1.095,58.75
51.202,0.916,606.119,0.12,41,0.723,105.02
73.152,1.127,616.54,0.216,12,0.976,25.8
33.393,1.055,741.187,0.241,23,1.053,26.05
26.33,0.755,703.018,0.0,8,0.913,75.52
18.319,1.148,701.986,0.121,51,1.063,74.11
67.441,1.172,716.551,0.065,3,1.161,27.37
54.815,0.901,543.707,0.095,36,0.994,74.44
44.166,1.113,504.828,0.152,16,1.045,12.51
49.2,0.922,630.923,0.174,38,1.277,34.63
28.118,1.065,609.812,0.111,29,1.095,47.81
81.686,0.86,453.64,0.0,11,1.04,55.83
46.938,0.781,560.724,0.043,57,0.808,119.38
46.641,0.993,494.736,0.192,8,1.134,-1.22
55.886,1.031,371.91,0.0,33,1.066,56.45
52.215,0.99,693.569,0.215,19,1.257,14.64
48.358,0.872,508.28,0.162,55,1.009,76.76
33.143,0.99,807.306,0.225,45,0.637,104.82
52.072,1.09,256.176,0.104,38,0.66,73.28
73.23,1.043,416.483,0.0,23,1.147,52.87
65.181,1.077,504.896,0.154,29,0.886,58.18
68.898,0.949,670.607,0.222,43,1.087,63.17
37.332,1.226,559.92,0.194,30,1.023,33.5
30.156,0.874,546.571,0.067,18,0.967,51.92
43.113,1.123,330.91,0.127,37,0.981,36.49
45.836,1.227,326.459,0.077,38,0.827,64.93
61.413,1.122,548.376,0.054,58,0.997,97.28
19.613,1.02,295.384,0.196,37,0.883,34.37
67.943,0.971,420.218,0.024,47,0.926,91.67
42.63,1.205,575.138,0.048,21,0.935,52.65
38.597,0.837,352.651,0.032,59,0.955,99.34
29.818,0.904,740.803,0.001,23,1.184,66.71
20.177,0.99,683.59,0.132,60,0.974,95.82
57.348,1.236,264.287,0.213,35,1.205,0.57
46.1,1.107,360.144,0.105,25,1.308,6.23
25.651,0.905,157.133,0.0,57,1.171,59.09
25.574,1.003,382.611,0.187,8,1.107,-10.39
39.963,0.958,614.958,0.255,34,1.065,39.95
70.035,0.944,437.916,0.068,24,1.173,39.06
41.106,1.197,569.12,0.082,5,1.018,23.91
22.453,0.844,271.65,0.161,37,1.197,14.0
41.314,1.291,619.696,0.25,18,1.123,-2.28
40.909,1.174,416.734,0.078,44,0.928,64.95
10.0,1.214,501.825,0.013,27,1.179,27.81
44.186,0.981,486.069,0.171,19,1.018,30.03
41.536,1.028,309.268,0.184,41,0.979,33.32
55.443,0.835,327.037,0.12,15,0.905,38.76
72.734,0.971,645.169,0.075,30,1.033,74.67
61.898,1.124,559.849,0.2,13,1.199,-3.14
40.967,1.244,657.507,0.162,12,1.178,5.79
28.402,0.884,548.699,0.059,41,1.071,71.61
83.6,0.995,521.449,0.124,26,1.12,47.51
45.888,1.027,241.098,0.012,40,1.254,35.39
45.209,0.841,459.445,0.175,26,0.97,45.34
44.638,1.139,495.892,0.099,35,0.777,73.85
47.971,0.941,792.966,0.085,19,1.26,44.92
42.835,1.021,603.043,0.117,59,0.894,101.26
36.395,0.982,730.409,0.123,46,0.862,100.14
36.797,0.932,589.631,0.192,38,0.641,85.82
44.509,1.049,393.305,0.167,37,1.114,28.35
36.849,1.018,517.569,0.107,8,0.676,53.39
34.307,0.994,535.434,0.181,60,0.85,87.59
46.596,0.941,359.127,0.152,18,1.118,17.71
41.175,1.098,442.342,0.086,47,1.144,55.05
67.56,1.298,469.135,0.11,30,0.87,51.63
10.0,1.071,740.843,0.108,43,0.973,73.91
61.373,1.199,187.889,0.16,34,0.825,38.59
63.691,0.841,680.873,0.091,28,0.89,84.87
13.899,1.074,359.481,0.089,13,1.053,7.01
39.86,0.885,294.188,0.278,54,0.9,53.58
39.428,0.828,676.991,0.195,27,0.951,55.79
23.887,0.939,609.785,0.059,33,0.707,99.64
33.333,1.229,688.178,0.166,23,1.227,20.1
28.341,1.193,620.105,0.129,47,1.102,53.4
71.284,1.086,808.977,0.151,57,1.159,85.14
59.035,0.82,583.809,0.131,53,1.258,67.54
64.073,1.021,476.528,0.215,5,0.835,19.77
55.825,1.095,551.439,0.148,14,0.928,37.36
28.064,1.076,686.52,0.115,53,0.621,118.49
37.132,0.773,383.094,0.203,42,1.628,-7.83
52.341,0.916,402.217,0.139,48,0.97,73.6
26.668,1.04,453.656,0.13,56,1.208,52.46
55.695,1.13,184.313,0.145,43,0.752,59.6
41.395,0.721,520.712,0.113,27,1.199,34.88
39.378,1.026,217.081,0.121,58,1.372,25.89
55.664,1.071,507.959,0.073,19,0.988,53.27
51.664,1.177,629.793,0.06,40,0.798,84.32
39.586,1.154,428.469,0.04,38,0.972,64.89
62.39,1.137,751.567,0.009,38,0.555,136.46
28.784,0.93,280.925,0.05,21,0.992,31.66
54.239,0.764,678.689,0.106,46,1.164,84.25
53.897,0.991,601.271,0.128,59,0.993,99.36
40.357,1.2,242.595,0.098,4,0.943,3.57
49.892,1.259,906.619,0.0,19,1.106,68.04
26.233,1.157,490.438,0.246,32,1.121,5.43
58.86,1.114,368.377,0.207,49,0.668,78.06
42.226,1.107,288.937,0.156,12,1.018,4.3
37.159,0.967,466.997,0.273,37,1.487,-16.34
60.735,1.03,480.889,0.042,54,0.733,116.02
34.435,1.3,515.397,0.271,38,0.983,32.3
23.873,0.909,455.331,0.043,56,1.388,55.91
21.651,1.292,594.984,0.139,35,1.221,25.93
54.09,1.002,441.856,0.018,3,0.897,38.7
25.794,1.249,209.755,0.121,20,1.041,-4.35
71.322,0.839,477.596,0.151,6,1.0,29.73
13.771,1.138,144.878,0.108,57,0.85,53.36
70.447,0.939,553.066,0.177,56,0.985,90.93
48.165,0.838,353.105,0.128,49,0.944,77.4
43.549,1.083,524.504,0.078,29,1.023,50.4
36.826,1.201,697.111,0.075,27,0.85,79.13
50.987,0.923,357.688,0.185,57,0.745,88.16
44.435,0.825,659.188,0.068,30,0.992,87.82
61.55,1.036,434.992,0.193,55,1.343,33.89
46.713,1.037,762.979,0.218,24,1.016,46.59
47.255,1.132,445.227,0.0,44,0.934,88.56
39.546,1.192,373.926,0.211,27,1.151,3.79
44.146,1.041,603.086,0.285,19,0.968,21.08
49.617,1.328,434.632,0.14,59,1.374,28.44
19.347,1.084,373.783,0.168,56,0.999,54.68
24.777,0.998,428.324,0.203,46,1.14,28.73
56.149,0.808,493.309,0.098,54,0.849,106.32
47.563,1.011,701.327,0.135,14,1.101,31.78
42.24,1.0,209.887,0.015,18,1.055,20.27
45.277,1.194,503.462,0.131,39,0.989,52.64
50.214,1.119,593.736,0.16,18,0.9,47.29
36.904,0.873,529.017,0.161,19,0.872,51.31
33.325,1.076,696.48,0.205,57,1.056,70.57
47.938,1.151,488.848,0.058,33,1.126,52.5
30.324,1.279,472.317,0.077,17,0.975,25.79
51.124,1.183,588.849,0.272,15,1.057,-3.08
19.461,1.164,514.897,0.108,42,0.992,47.17
60.437,1.059,441.439,0.136,29,1.02,37.91
52.089,1.108,577.422,0.115,23,0.96,53.1
48.84,1.237,402.121,0.054,4,1.004,13.01
59.74,0.85,408.323,0.25,10,1.54,-39.23
69.982,0.998,420.801,0.078,44,1.062,74.18
60.216,0.934,702.96,0.03,9,1.129,47.45
17.387,1.107,50.0,0.084,12,1.088,-16.03
25.806,1.235,559.34,0.0,59,0.947,100.39
35.628,0.96,505.141,0.068,6,1.259,4.21
45.391,0.691,247.869,0.043,45,0.942,84.22
52.765,0.988,546.459,0.169,43,1.211,42.8
34.114,1.187,571.363,0.066,38,0.933,68.41
47.802,1.131,588.446,0.191,37,0.808,73.9
33.669,1.114,102.226,0.232,45,1.073,6.72
35.827,1.008,704.958,0.182,5,0.779,47.81
23.9,0.858,389.339,0.103,60,1.107,74.55
31.152,1.127,602.985,0.131,20,0.761,55.93
24.725,0.925,611.161,0.0,60,0.936,121.23
30.362,1.378,368.495,0.109,53,0.714,74.3
60.805,1.136,599.069,0.051,48,1.565,34.61
30.759,0.963,442.176,0.176,58,0.669,96.35
84.486,0.958,189.293,0.326,45,1.002,19.76
52.4,1.036,675.161,0.16,26,1.229,34.64
47.773,1.014,383.743,0.0,34,1.207,48.22
32.125,1.218,371.826,0.091,36,1.17,22.94
55.505,1.078,439.54,0.13,4,0.937,22.16
36.365,0.94,540.836,0.127,4,1.27,-3.15
46.83,1.334,491.409,0.062,12,1.183,7.69
83.401,1.057,582.21,0.14,25,1.042,51.58
43.559,1.165,299.077,0.021,17,1.048,26.99
62.239,0.959,388.642,0.044,56,0.939,97.69
34.452,1.104,482.6,0.172,14,0.818,30.72
44.475,1.097,784.683,0.039,45,1.247,78.66
71.562,0.767,482.928,0.163,19,1.262,20.84
35.595,1.352,662.783,0.01,20,0.823,66.81
72.187,1.244,505.783,0.261,16,0.969,6.35
55.616,0.99,427.451,0.058,19,0.971,51.96
36.563,0.885,462.991,0.102,17,0.993,38.91
54.486,1.102,474.737,0.146,14,1.013,23.76
59.588,1.063,590.547,0.075,18,1.189,38.44
54.327,1.103,706.192,0.131,34,0.851,79.07
21.447,1.079,553.952,0.166,25,0.831,42.61
34.093,1.126,678.062,0.197,40,1.247,32.09
41.287,1.267,355.282,0.183,36,0.907,33.89
43.883,1.135,437.805,0.106,36,0.747,71.66
54.31,0.893,391.355,0.108,18,0.903,51.38
47.666,1.254,547.167,0.308,36,0.934,17.5
24.97,1.296,446.156,0.196,42,1.311,5.61
50.703,1.523,609.466,0.046,9,1.185,12.86
54.159,0.881,360.35,0.128,35,1.23,31.97
53.397,1.086,506.455,0.093,6,1.164,-0.22
61.212,0.738,603.029,0.109,45,1.189,79.17
57.509,1.133,190.205,0.022,54,0.862,77.98
51.888,0.968,818.245,0.087,9,0.96,60.78
43.948,1.339,457.527,0.265,20,0.802,15.39
20.086,0.934,196.244,0.166,6,0.958,-6.07
51.444,0.797,523.714,0.0,51,1.137,95.78
48.115,0.979,505.017,0.217,13,1.027,17.54
49.074,0.754,487.716,0.207,45,1.262,42.05
25.849,1.163,648.679,0.091,22,0.772,67.61
28.784,0.74,612.117,0.177,13,1.1,28.48
60.797,1.054,544.681,0.051,17,0.75,71.52
44.407,0.738,567.523,0.082,48,1.019,88.61
55.223,1.002,484.346,0.24,19,1.148,8.82
45.425,1.297,766.324,0.098,36,0.957,76.01
45.446,1.104,278.121,0.0,52,1.11,67.24
59.074,0.92,520.948,0.115,50,0.808,98.65
37.259,1.045,509.754,0.114,14,0.667,63.9
46.442,1.053,621.992,0.216,44,1.111,43.72
38.066,1.121,373.422,0.121,30,1.349,5.66
38.483,0.845,238.449,0.086,50,0.801,81.43
40.362,1.139,523.523,0.204,37,1.244,22.89
48.332,0.644,542.185,0.13,10,1.009,38.17
37.819,0.956,723.44,0.06,29,0.733,106.8
63.836,0.977,309.446,0.212,24,0.774,39.4
31.581,1.145,673.204,0.135,56,1.003,79.89
42.197,1.053,855.112,0.12,59,0.919,115.75
38.404,0.839,443.335,0.134,26,0.737,65.92
66.705,0.902,306.359,0.034,4,0.661,60.96
47.948,1.08,438.954,0.078,33,0.831,66.82
60.478,1.038,502.101,0.12,24,1.039,40.18
22.717,0.963,584.568,0.104,3,0.999,25.99
49.006,0.978,411.291,0.222,16,0.9,18.81
58.344,1.154,733.28,0.137,27,1.04,52.61
46.234,0.972,332.82,0.188,38,1.208,13.26
60.982,1.037,239.119,0.121,38,1.079,33.47
37.241,1.375,666.007,0.205,43,0.976,53.37
66.14,0.836,158.807,0.152,5,1.186,-17.17
79.483,0.772,469.381,0.121,7,0.808,54.96
39.557,1.168,967.652,0.119,3,0.955,51.42
38.317,0.948,498.193,0.044,56,0.96,95.55
66.801,1.002,331.885,0.161,21,0.753,56.87
68.694,0.933,491.39,0.117,35,0.916,72.12
37.157,1.011,492.38,0.08,44,0.585,109.57
38.697,1.29,524.097,0.209,56,1.382,22.04
40.773,1.17,599.339,0.02,32,0.813,89.33
24.833,1.179,344.133,0.086,14,1.317,-14.91
31.22,0.838,753.132,0.202,12,1.008,36.92
29.938,0.877,536.767,0.145,36,1.113,53.71
33.483,0.624,609.019,0.116,18,0.902,66.5
44.48,0.929,405.778,0.14,42,1.042,51.17
48.513,1.194,692.957,0.134,48,1.13,62.13
68.258,1.128,461.442,0.0,31,1.133,51.18
30.025,1.017,541.633,0.092,17,1.155,27.32
59.765,1.047,360.034,0.249,50,0.926,42.05
41.79,0.947,350.46,0.067,13,0.904,38.65
44.258,1.081,603.231,0.095,46,0.681,105.98
55.122,1.165,433.459,0.077,36,1.105,53.59
28.159,0.808,371.927,0.113,38,1.216,28.25
50.736,1.095,403.522,0.073,32,1.323,18.0
47.497,1.19,604.843,0.159,37,1.061,46.77
52.387,0.988,405.644,0.136,11,0.847,34.74
49.338,1.155,482.352,0.182,20,0.661,51.57
81.83,1.472,502.254,0.036,21,1.208,25.23
35.434,1.034,212.398,0.093,41,0.641,70.78
37.035,1.109,279.331,0.102,6,0.932,10.34
35.653,0.939,550.442,0.156,8,0.955,19.1
36.668,1.077,389.446,0.057,53,0.986,74.93
35.439,1.119,658.509,0.193,35,1.007,45.97
62.835,1.079,645.021,0.215,34,1.028,52.62
66.308,0.897,607.875,0.041,18,0.517,118.33
36.439,1.081,772.966,0.081,13,1.003,51.01
32.515,1.269,487.537,0.077,24,0.554,81.63
52.071,1.117,597.332,0.331,38,1.146,14.49
36.717,1.194,412.34,0.086,52,0.889,71.61
54.494,1.014,867.855,0.254,25,0.569,97.94
48.044,1.162,797.545,0.019,28,0.837,98.4
22.264,1.092,501.782,0.041,33,0.886,68.04
68.213,0.907,557.988,0.065,31,1.238,55.37
71.938,1.098,703.895,0.052,7,1.039,51.09
35.808,0.901,477.929,0.099,56,1.069,77.16
39.184,0.955,401.506,0.063,40,1.236,37.9
49.288,1.078,631.098,0.054,27,0.981,66.6
50.017,1.095,511.766,0.213,36,1.151,28.52
54.878,0.872,527.449,0.218,14,1.137,12.6
75.153,1.208,374.859,0.196,24,0.743,47.84
42.346,1.136,242.349,0.162,11,1.295,-29.76
33.026,0.944,535.421,0.127,22,0.716,65.07
24.31,0.819,635.744,0.08,31,1.183,48.92
34.036,1.028,466.129,0.044,46,0.697,102.31
44.503,0.983,715.464,0.149,31,1.12,50.67
71.918,1.067,394.413,0.026,47,1.372,48.79
37.236,0.996,341.794,0.04,29,0.957,50.29
48.357,0.749,489.915,0.212,56,0.949,77.9
44.754,0.992,487.611,0.272,57,1.122,48.01
62.826,1.004,615.495,0.151,19,0.934,52.47
82.904,1.145,383.756,0.209,7,1.364,-31.49
37.037,0.945,705.214,0.1,54,1.038,93.49
37.658,1.302,795.038,0.013,47,0.936,106.51
60.662,0.763,494.128,0.169,15,0.892,49.35
55.228,1.247,687.457,0.166,44,0.813,84.99
72.701,1.016,341.525,0.126,17,0.874,38.18
53.759,1.179,661.283,0.101,17,0.93,55.9
39.611,1.062,657.091,0.197,20,0.902,51.27
53.86,1.221,629.516,0.041,52,0.868,101.33
61.631,0.992,497.666,0.058,4,1.42,-7.49
57.307,0.885,56.863,0.039,25,0.794,52.32
52.609,1.263,403.741,0.127,45,1.029,51.0
61.0,1.033,406.113,0.033,15,1.119,32.15
62.539,1.083,353.262,0.065,45,1.126,51.67
65.732,1.235,518.336,0.064,6,0.988,30.19
54.731,0.895,437.155,0.099,49,0.952,84.35
42.493,1.139,376.308,0.001,56,1.09,74.75
47.201,0.962,341.18,0.127,57,1.053,67.71
63.098,1.03,392.673,0.22,27,0.948,34.73
32.746,1.061,668.225,0.131,13,0.688,65.74
50.53,0.825,400.846,0.243,52,0.906,64.97
39.1,0.933,422.759,0.227,50,0.771,75.08
45.431,1.253,431.495,0.182,44,0.867,50.23
64.177,1.183,550.849,0.126,14,1.007,28.52
47.866,1.041,568.437,0.122,15,1.072,29.58
45.697,1.086,50.0,0.181,11,1.356,-53.17
24.602,1.006,653.245,0.089,55,0.893,97.35
56.194,1.253,715.455,0.0,47,1.155,90.87
54.682,1.02,342.472,0.159,40,1.061,47.32
77.449,1.085,354.155,0.03,8,1.259,9.05
40.383,1.222,432.462,0.043,45,1.115,54.9
48.287,0.933,386.599,0.12,53,0.798,89.89
48.741,1.284,533.589,0.112,45,0.655,96.71
68.662,0.82,208.021,0.007,12,1.062,38.9
43.571,1.294,332.311,0.133,25,0.894,21.23
49.185,0.994,730.88,0.197,17,0.804,61.22
54.118,1.014,360.767,0.03,47,0.746,95.11
47.799,0.766,686.514,0.222,25,1.032,55.25
38.303,0.982,553.301,0.0,42,1.302,60.84
47.911,0.894,228.61,0.289,39,0.918,22.09
61.104,0.959,595.299,0.087,36,1.118,64.13
29.602,1.029,482.35,0.132,18,0.98,29.03
46.995,1.194,431.68,0.0,47,0.742,103.05
34.498,1.081,536.744,0.115,53,1.147,64.54
62.926,1.096,571.195,0.138,43,0.781,84.72
22.152,0.886,606.139,0.113,49,1.004,86.17
36.616,0.918,676.738,0.075,34,0.932,88.86
50.658,1.32,561.22,0.044,40,1.179,48.09
68.483,0.94,293.655,0.21,42,0.788,62.15
44.014,1.298,428.953,0.122,58,1.078,63.4
36.672,1.014,941.457,0.243,48,0.832,101.01
73.217,1.05,608.674,0.078,7,0.898,52.76
23.28,1.211,855.393,0.085,19,0.5,105.15
12.018,1.241,709.315,0.185,24,1.418,2.13
51.6,1.033,536.27,0.0,41,1.11,76.34
37.469,0.992,545.211,0.023,43,0.847,95.15
29.682,1.042,494.513,0.208,50,0.775,74.09
55.625,1.101,239.329,0.026,20,0.901,43.65
48.657,1.184,502.707,0.0,30,1.143,49.05
36.539,1.051,681.601,0.269,15,0.622,54.33
25.795,1.143,410.054,0.008,52,0.972,74.94
58.087,1.296,561.793,0.135,44,1.354,25.13
54.753,1.107,627.739,0.126,3,0.773,49.88
43.512,1.097,363.548,0.0,55,1.016,76.88
72.7,0.822,432.305,0.099,52,1.441,51.03
28.949,0.655,347.313,0.156,21,1.126,13.83
22.117,1.108,376.675,0.148,36,1.025,24.74
34.621,1.036,306.859,0.192,6,1.101,-18.78
44.316,0.973,364.933,0.089,45,0.92,71.98
48.65,1.087,712.918,0.177,5,1.26,6.41
41.381,1.041,362.678,0.065,43,0.92,69.17
50.281,1.219,518.969,0.007,12,0.608,77.77
26.227,1.063,424.57,0.016,30,0.922,63.84
66.656,0.938,676.83,0.003,36,0.807,112.97
43.768,1.199,696.674,0.201,41,0.944,61.72
61.759,1.017,629.61,0.0,49,0.948,106.21
50.141,1.129,545.92,0.142,21,1.239,14.3
51.851,0.978,465.341,0.099,44,1.139,56.82
53.547,0.953,321.219,0.112,58,1.053,66.92
51.716,1.063,791.529,0.229,54,0.999,81.73
54.641,1.052,386.049,0.085,48,0.788,88.88
64.937,1.122,599.547,0.169,38,0.564,103.59
47.948,1.01,658.935,0.123,59,1.023,87.84
55.635,0.775,416.708,0.108,45,1.159,60.37
43.654,0.985,655.702,0.304,5,0.978,2.58
66.602,1.169,614.632,0.005,25,0.893,84.12
34.854,1.005,759.195,0.223,19,1.093,31.47
72.014,1.013,429.598,0.173,9,0.983,22.12
44.398,1.198,307.12,0.082,28,1.337,-1.76
23.538,0.943,424.177,0.25,45,1.247,17.46
46.922,0.819,531.328,0.0,20,1.192,46.03
34.784,1.026,508.732,0.078,48,1.152,54.96
57.61,0.977,440.984,0.023,48,0.742,106.34
35.211,0.905,213.62,0.153,8,1.133,-12.88
38.307,1.024,570.572,0.031,33,1.075,66.72
16.657,1.124,795.852,0.155,31,1.121,34.09
38.215,1.049,569.638,0.105,11,1.099,28.13
10.0,1.096,591.37,0.082,56,1.091,72.57
21.241,1.322,585.867,0.151,37,1.54,-14.71
56.406,0.999,559.557,0.099,19,0.985,50.55
56.787,1.092,639.75,0.033,14,1.187,42.96
51.382,0.974,559.306,0.344,38,0.906,40.44
30.495,0.923,453.098,0.081,54,1.158,69.59
44.284,0.962,380.602,0.0,50,1.188,63.59
44.946,0.978,462.654,0.053,26,1.073,46.88
27.625,1.104,547.119,0.019,12,1.334,7.33
67.551,1.402,452.588,0.186,60,0.823,82.31
58.16,0.943,547.151,0.146,32,0.903,68.92
41.686,0.988,565.873,0.152,31,1.042,56.98
45.403,1.041,624.977,0.09,41,1.176,58.05
48.126,1.109,692.419,0.098,12,1.036,38.47
14.374,1.09,511.701,0.09,41,1.257,33.14
41.292,1.243,303.834,0.114,57,0.868,73.89
34.77,0.686,448.234,0.187,30,0.772,65.28
29.976,0.692,506.609,0.147,20,1.062,38.3
40.783,0.976,224.635,0.16,43,0.985,39.64
71.965,1.215,708.3,0.16,56,1.109,77.74
54.613,0.815,521.357,0.191,52,0.995,73.73
36.432,0.6,557.203,0.143,19,0.932,58.11
53.589,1.136,704.829,0.149,13,0.985,39.03
65.99,1.087,405.479,0.215,3,1.006,-2.04
58.87,0.886,586.106,0.067,19,0.939,70.27
45.894,0.902,483.52,0.052,38,0.959,83.85
35.296,0.905,472.387,0.025,38,0.919,79.2
55.473,1.067,384.171,0.135,48,1.171,42.8
50.902,0.956,749.84,0.0,11,1.039,64.2
58.428,1.124,443.675,0.157,47,1.451,17.14
54.528,0.622,604.92,0.111,30,1.032,72.82
60.743,0.921,218.749,0.211,50,0.89,55.46
36.971,0.881,676.998,0.066,35,1.534,35.83
64.761,1.012,657.832,0.104,5,1.083,24.46
47.964,0.969,514.615,0.21,53,1.198,48.53
76.129,1.17,465.959,0.231,10,1.118,-4.75
34.662,0.771,560.0,0.066,52,1.125,85.88
71.039,1.057,843.319,0.135,8,1.107,40.01
47.969,1.134,235.514,0.144,54,0.78,73.97
35.229,1.328,617.304,0.15,60,1.074,69.29
37.742,0.978,363.257,0.099,8,0.735,43.85
40.195,1.099,497.012,0.223,31,0.965,35.05
51.362,0.779,462.818,0.0,39,0.855,99.3
52.843,0.691,435.752,0.086,14,1.071,38.76
36.394,1.177,498.43,0.156,11,1.067,9.61
44.635,1.049,329.874,0.157,43,1.096,32.84
77.134,1.227,654.377,0.228,51,1.057,67.24
70.913,0.844,230.878,0.216,21,0.879,27.06
51.545,1.128,580.965,0.097,19,0.948,50.82
45.57,1.33,451.02,0.224,56,1.184,36.53
46.8,1.113,324.361,0.063,50,1.214,43.35
54.203,1.091,530.358,0.194,46,0.771,78.92
29.658,1.051,266.457,0.265,34,0.694,39.3
41.139,0.814,505.957,0.217,37,0.855,66.1
19.971,1.253,286.568,0.128,16,1.209,-20.17
50.988,0.958,569.191,0.093,51,1.243,63.3
54.708,1.126,361.346,0.0,56,0.815,103.47
37.752,0.816,432.351,0.145,18,1.061,32.47
68.61,0.873,544.092,0.031,23,1.367,36.98
26.614,1.265,384.119,0.057,14,1.083,10.93
23.034,0.998,491.305,0.025,26,1.284,27.66
48.367,1.268,272.925,0.083,36,1.2,20.45
60.706,1.038,594.631,0.118,10,0.818,54.84
70.259,0.774,764.737,0.142,46,0.962,100.83
38.117,1.184,918.831,0.072,23,1.007,68.62
61.18,0.962,513.675,0.206,50,1.021,57.01
44.422,1.155,618.231,0.103,10,1.183,13.0
42.411,1.054,232.906,0.057,30,1.082,33.19
58.255,0.819,725.41,0.138,18,0.5,112.2
54.785,1.075,616.434,0.277,12,0.737,38.68
21.354,1.379,427.41,0.147,54,0.563,88.82
67.148,1.124,685.577,0.091,17,1.035,51.38
65.701,1.041,461.829,0.0,6,1.048,41.97
35.617,1.211,431.296,0.102,28,1.057,30.74
50.937,1.082,571.3,0.139,17,0.808,60.01
52.41,1.081,340.497,0.089,38,1.135,38.65
48.91,0.886,653.244,0.0,34,1.143,83.65
36.745,1.085,341.602,0.052,45,0.749,87.68
34.926,1.205,342.492,0.236,40,0.707,49.53
44.617,0.925,363.547,0.235,6,1.0,-10.52
62.591,1.264,613.925,0.049,43,1.358,49.85
53.154,1.036,407.484,0.174,11,1.34,-18.4
39.441,0.917,297.801,0.026,37,1.113,48.84
56.575,1.2,409.148,0.232,57,0.854,59.23
10.0,1.007,495.194,0.14,30,1.177,21.06
62.231,1.164,322.854,0.196,39,0.91,41.12
18.904,1.006,327.248,0.0,49,0.846,81.81
39.563,1.041,816.694,0.174,11,0.571,74.86
28.205,1.124,370.915,0.119,4,1.02,1.54
